Smile
COc1cc(C(NCCc2ccc([S+2](N)(=O)=O)cc2)=O)ccc1
c12n(C(/N=C/3\N1CN(CN3)CCCOC)c1occc1)c1c(n2)cccc1
c12c(cc(s1)C(NCC(=O)c1ccccc1)=O)c(nn2c1ccccc1)C
c1cc(CN(C(Nc2ccc(OCC)cc2)=S)CCc2c3c([nH]c2C)cccc3)[nH0]cc1
C(N1CCC(Cc2nnc([nH]2)CC)CC1)(NC1CCCCC1)=O
c1ccc(c2[nH0](C)c(SCC(Nc3ccc(CCCC)cc3)=O)[nH0]c2)cc1
CC[nH0]1[nH0]c(c(CCN(S(=O)=OC2SC(Br)=CC=2)C)c1C)C
COc1ccc(C=C2C(N3CN(CN=C3S2)c2ccc(C(=O)C)cc2)=O)cc1
CC(=NNc1c(cc([N+]([O-])=O)cc1)[N+]([O-])=O)c1cc2c(cc1)OCCO2
c1(c(ccc(c1)OC)O)\C=N\NC(c1ccc(cc1)F)=O
C1CCN(c2c(NS(=O)=Oc3ccc(cc3)C)cc(C(NCC3OCCC3)=O)cc2)CC1
COC(c1ccc(NC(C[nH0]2c(c3Sc4c(c3[nH0]c2)c(F)ccc4)=O)=O)cc1)=O
C(CCCC)C(N(CC(N(Cc1occc1)CC1OCCC1)=O)C(C)CC)=O
CC1CN(CCCNC(C2CCN(C3=NC(=NO3)c3ccc(Cl)cc3)CC2)=O)CCC1
CCOC(C1=C(NC(=O)COc2cc(C(F)(F)F)ccc2)SC2=C1CCC(C2)C)=O
C1CCN(C(c2[nH][nH0]c(c2)c2ccc(cc2)C)=O)CCC1
C1CCN(C2=NN=C(S2)NC(Nc2cc(ccc2)Br)=O)CC1
c1cc(c(C2=NC3Oc4c(CC=3C(N2)=S)c(c[nH0]c4C)CO)cc1)OC
COc1cc(NC(CC2SC(=NC2=O)N2N=C(CC2c2ccc(cc2)C)c2ccc(F)cc2)=O)cc(c1)OC
c1cc2SC(C(N(Cc3ccc(F)cc3)c2cc1)=O)=Cc1ccc(C(=O)NCCOC)cc1
Cc1cc(NC(CCC(NN=C(c2ccc(cc2O)O)C)=O)=O)ccc1
c1(C(N2CC(c3nc(ncc3COC)C)CCC2)=O)c(nc(cc1)OC)OC
N1(C(Cc2ccc(cc2)C)=O)[C@H]2CC(NC(c3ncc(nc3)C)=O)C[C@@H]1CC2
C/1(=C/2\S\C(=C(/S2)\C(=O)OC)\C(=O)OC)\C(C(N(c2c1cc(cc2)C)C(c1cc(F)ccc1)=O)(C)C)=S
